Attendance_ID,Employee_ID,Date,Status
1,1776,2025-07-25,Present
2,1356,2025-08-08,Leave
3,1867,2025-08-08,Absent
4,1085,2025-08-12,Present
5,1280,2025-09-21,Leave
6,1743,2025-08-24,Present
7,1246,2025-07-25,Leave
8,1635,2025-08-21,Present
9,1658,2025-08-18,Leave
10,1464,2025-08-30,Absent
11,1562,2025-08-09,Present
12,1425,2025-09-18,Absent
13,1568,2025-07-29,Absent
14,1979,2025-09-18,Present
15,1674,2025-08-07,Leave
16,1336,2025-09-08,Absent
17,1660,2025-09-19,Present
18,1926,2025-09-08,Leave
19,1901,2025-09-13,Leave
20,1135,2025-08-23,Absent
21,1232,2025-08-14,Absent
22,1655,2025-08-23,Absent
23,1177,2025-08-17,Present
24,1059,2025-09-06,Present
25,1221,2025-08-18,Absent
26,1042,2025-09-04,Absent
27,1083,2025-07-26,Leave
28,1604,2025-07-31,Leave
29,1770,2025-09-16,Present
30,1152,2025-08-22,Leave
31,1086,2025-08-17,Present
32,1140,2025-08-16,Leave
33,1522,2025-09-19,Leave
34,1733,2025-09-15,Present
35,1840,2025-08-29,Present
36,1716,2025-07-26,Present
37,1336,2025-09-15,Leave
38,1197,2025-08-16,Leave
39,1519,2025-09-22,Absent
40,1078,2025-08-31,Present
41,1690,2025-08-23,Absent
42,1478,2025-08-18,Absent
43,1916,2025-08-17,Leave
44,1354,2025-09-16,Absent
45,1382,2025-09-11,Present
46,1574,2025-08-25,Present
47,1009,2025-08-04,Present
48,1320,2025-09-02,Absent
49,1527,2025-08-15,Absent
50,1362,2025-09-17,Present
51,1190,2025-08-03,Leave
52,1812,2025-07-30,Absent
53,1116,2025-08-16,Leave
54,1032,2025-07-29,Absent
55,1488,2025-09-08,Leave
56,1398,2025-09-10,Leave
57,1264,2025-09-23,Present
58,1981,2025-08-20,Present
59,1349,2025-08-21,Absent
60,1491,2025-08-10,Leave
61,1772,2025-07-27,Present
62,1480,2025-09-23,Leave
63,1919,2025-08-09,Absent
64,1190,2025-08-15,Leave
65,1429,2025-08-13,Absent
66,1692,2025-07-25,Leave
67,1536,2025-08-09,Absent
68,1453,2025-08-26,Absent
69,1323,2025-08-10,Leave
70,1458,2025-08-18,Leave
71,1118,2025-08-05,Present
72,1788,2025-08-14,Leave
73,1691,2025-08-14,Absent
74,1076,2025-09-19,Leave
75,1639,2025-08-03,Leave
76,1605,2025-07-26,Absent
77,1065,2025-08-31,Leave
78,1863,2025-08-17,Absent
79,1661,2025-09-22,Leave
80,1986,2025-08-20,Absent
81,1058,2025-09-01,Leave
82,1141,2025-08-30,Present
83,1958,2025-09-16,Present
84,1657,2025-09-08,Present
